;CU;CU2
284;1.0;0.5714285714285714
285;1.0;0.4666666666666667
286;1.0;0.4347826086956522
287;1.0;0.1333333333333333
288;1.0;0.4444444444444444
289;1.0;0.42307692307692313
290;1.0;0.368421052631579
291;1.0;0.38888888888888884
292;0.9375;0.5172413793103448
293;1.0;0.368421052631579
294;1.0;0.5
295;1.0;0.2727272727272727
296;1.0;0.3125
297;1.0;0.3571428571428571
298;1.0;0.5
299;1.0;0.38888888888888884
300;0.8333333333333334;0.4
301;1.0;0.44999999999999996
302;1.0;0.33333333333333337
303;1.0;0.33333333333333337
304;1.0;0.5909090909090908
305;1.0;0.25
306;1.0;0.3076923076923077
307;1.0;0.2857142857142857
308;0.851063829787234;0.5588235294117647
309;1.0;0.45833333333333337
310;1.0;0.5
311;1.0;0.38888888888888884
312;1.0;0.18181818181818177
313;1.0;0.3076923076923077
314;1.0;0.5714285714285714
315;1.0;0.6296296296296297
316;1.0;0.45833333333333337
317;1.0;0.33333333333333337
318;1.0;0.5217391304347826
319;1.0;0.26315789473684215
320;1.0;0.47058823529411764
321;1.0;0.19999999999999996
322;1.0;0.5238095238095238
323;0.8888888888888888;0.4
324;0.9333333333333333;0.6363636363636364
325;1.0;0.375
326;1.0;0.4117647058823529
327;1.0;0.4
328;1.0;0.4375
329;1.0;0.34782608695652173
330;1.0;0.3076923076923077
331;1.0;0.18181818181818177
332;1.0;0.30000000000000004
333;0.7777777777777778;0.6363636363636364
334;1.0;0.5789473684210527
335;1.0;0.5416666666666667
336;1.0;0.33333333333333337
337;1.0;0.5384615384615384
338;1.0;0.25
339;1.0;0.5652173913043479
340;1.0;0.36363636363636365
341;1.0;0.2666666666666667
342;1.0;0.6206896551724138
343;1.0;0.7037037037037037
344;0.9285714285714286;0.65
345;1.0;0.18181818181818177
346;1.0;0.25
347;1.0;0.375
348;1.0;0.4117647058823529
349;1.0;0.46153846153846156
350;1.0;0.4
351;1.0;0.1428571428571429
352;1.0;0.3571428571428571
353;1.0;0.6
354;0.4444444444444444;0.3214285714285714
355;1.0;0.3846153846153846
356;1.0;0.3529411764705882
357;1.0;0.3125
358;1.0;0.4285714285714286
359;1.0;0.2941176470588235
360;0.8888888888888888;0.5
361;0.5789473684210527;0.33333333333333337
362;1.0;0.4375
363;1.0;0.6666666666666667
364;1.0;0.4736842105263158
365;1.0;0.1428571428571429
366;0.8205128205128205;0.6666666666666667
367;1.0;0.16666666666666663
368;0.47058823529411764;0.34615384615384615
369;0.7142857142857143;0.2777777777777778
370;1.0;0.4375
371;1.0;0.33333333333333337
372;1.0;0.33333333333333337
373;1.0;0.2142857142857143
374;1.0;0.2142857142857143
375;1.0;0.23529411764705888
376;1.0;0.4117647058823529
377;1.0;0.5333333333333333
378;1.0;0.5
379;1.0;0.4545454545454546
380;1.0;0.4
381;1.0;0.7037037037037037
382;1.0;0.30434782608695654
383;1.0;0.25
384;0.8461538461538461;0.5
385;1.0;0.65625
386;1.0;0.33333333333333337
387;1.0;0.3076923076923077
388;1.0;0.4666666666666667
389;0.9285714285714286;0.4814814814814815
390;1.0;0.5185185185185186
391;0.9444444444444444;0.5666666666666667
392;0.9;0.40909090909090906
393;1.0;0.33333333333333337
394;1.0;0.2222222222222222
395;0.8;0.5
396;1.0;0.19999999999999996
397;1.0;0.4347826086956522
398;1.0;0.5769230769230769
399;1.0;0.5
400;1.0;0.11764705882352944
401;1.0;0.5294117647058824
402;1.0;0.3076923076923077
